prod_picture,prod_no,prod_external,cat_code,prodName,prod_price,prod_salesprice,brief_Desc,Other_Desc,Brand_id,Inventory,prod_hot,prod_latest,prod_special,Related,,,,新分類
710474965502P-1,710474965502P,N/A,12127,SEXYLOOK 24黑面膜+2嫩白黑頸顏,620,0,規格：26片-水潤黑面膜8片 + 亮白黑面膜8片 +修護黑面膜8片+ 嫩白黑頸顏2片,sexylook,N/A,2,False,False,False,N/A,,11280,,11280
S29006041446F,S29006041446F,N/A,12127,"Whitening Source Derm Revival Mask 10 pcs
晶緻煥白深層修護面膜",3540,0,規格：10片,SK-II,N/A,2,False,False,False,N/A,,11280,,11280
S29006046953F,S29006046953F,N/A,12127,"Skin Signature 3D Redefining Mask 6 pcs
煥能拉提雙面膜",3700,0,規格：6片,SK-II,N/A,2,False,False,False,N/A,,11280,,11280
712818491159P-1,712818491159P,N/A,12127,Taiwan Yes深海活妍白金面膜3盒裝,1150,0,規格：5片 × 3盒,台灣海洋深層水股份有限公司,N/A,2,False,False,False,N/A,,11280,,11280
712688933469P-1,712688933469P,N/A,12127,森田蝸牛修護原液面膜,335,0,規格：10片,森田生醫股份有限公司,N/A,2,False,False,False,N/A,,11280,,11280
S29006620344F,S29006620344F,N/A,12127,"Facial Treatment Mask 6 pcs
青春敷面膜",2280,0,規格：6片,SK-II,N/A,2,False,False,False,N/A,,11280,,11280
712052504974P-1,712052504974P,N/A,12127,醫美最強生物纖維面膜,2680,0,規格：28 ml × 12片,DR.WU,N/A,2,False,False,False,N/A,,11280,,11280
S29006620344F,S29006595840F,N/A,12127,"Facial Treatment Mask 10 pcs
青春敷面膜",3570,0,規格：10片,SK-II,N/A,2,False,False,False,N/A,,11280,,11280
712818497083P-1,712818497083P,N/A,12127,Taiwan Yes海洋深層水膠原面膜3盒 (2016版),750,0,規格：6片 × 3盒,台灣海洋深層水股份有限公司,N/A,2,False,False,False,N/A,,11280,,11280
712688933506P-1,712688933506P,N/A,12127,森田三重玻尿酸複合原液面膜,335,0,規格：10片,森田生醫股份有限公司,N/A,2,False,False,False,N/A,,11280,,11280
SY168212F,SY168212F,N/A,12128,"Super Soin Solaire Facial Sun Care SPF50+
御緻抗老防曬精華SPF 50+",4510,0,規格：40 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11290,,11290
CN129518F,CN129518F,N/A,12128,"UV Plus Anti-Pollution SPF 50 - Neutral 50ml輕呼吸全效
UV隔離露SPF50/PA++++ 30ml 自然色",1870,0,規格：50 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11290,,11290
S29006044072F,S29006044072F,N/A,12128,"Whitening Source Derm Definition UV Lotion SPF50 PA+++
晶緻煥白隔離防曬乳",2180,0,規格：30 g,SK-II,N/A,2,False,False,False,N/A,,11290,,11290
CN129718F,CN129718F,N/A,12128,"UV Plus Anti-Pollution SPF 50 (Pink)
輕呼吸全效UV隔離露SPF50/PA++++ 30ml (Baby粉)",1870,0,規格：50 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11290,,11290
